"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","JSONPlaceholder API Tests","0","Albums","4","0","","0"
"0","JSONPlaceholder API Tests","0","Users","5","0","","0"
"0","JSONPlaceholder API Tests","0","Photos","4","0","","0"
"0","JSONPlaceholder API Tests","0","GET Requests","8","0","","0"
"0","JSONPlaceholder API Tests","0","PUT Requests","3","0","","0"
"0","JSONPlaceholder API Tests","0","POST Requests","4","0","","0"
"0","JSONPlaceholder API Tests","0","Todos","5","0","","0"
"0","JSONPlaceholder API Tests","0","DELETE Requests","3","0","","0"
"0","JSONPlaceholder API Tests","0","Comments","4","0","","0"
